"text_of_1month","datums","datums2"
" Arnie Alberts' wereld van rozegeur en maneschijn wordt verstoord. Lerares Helen Helmink moet op doktersadvies stoppen met werken. De problemen bij Peter Kelder thuis lopen hoog op. ","Maandag 1 oktober 1990"," 1 10 1990"
" Laura Alberts verwerkt de scheiding van haar man slecht. De ruzie van Peter met zijn vader komt tot een uitbarsting. Het lukt Rien om een baan te krijgen bij reclamebureau Stenders. ","Dinsdag 2 oktober 1990"," 2 10 1990"
" Linda wil hogerop in het modellenvak. De ruzie tussen Peter en Willem Kelder loopt uit op een gevecht. Helen maakt zich zorgen over haar vroegere leerling Peter, die bij Arnie intrekt. ","Woensdag 3 oktober 1990"," 3 10 1990"
" Annette ontmoet haar vroegere schoolvriendin Suzanne, die op zeer eigen wijze haar geld verdient. Helen zoekt nieuwe wegen om het leven aan te kunnen. Rien is bezig carrière te maken bij het reclamebureau. ","Donderdag 4 oktober 1990"," 4 10 1990"
" Helen beschuldigt Peter van diefstal. De scheidingsperikelen van Laura en Robert worden erger wanneer Robert het huis voor hemzelf en zijn vriendin Stephanie wil. ","Vrijdag 5 oktober 1990"," 5 10 1990"
" Peter moet terug naar huis om zijn spullen te pakken. Arnie heeft een ontmoeting met Stephanie, zijn vaders nieuwe vriendin. Het gaat slecht met het huwelijk van Petra en Jan. ","Maandag 8 oktober 1990"," 8 10 1990"
" Helen gaat zich bemoeien met Peter's moeilijkheden. Stephanie stelt hoge eisen aan Robert. Linda is jaloers op haar broer Simon wanneer ze hoort dat hij alleen naar Parijs gaat. ","Dinsdag 9 oktober 1990"," 9 10 1990"
" Rien probeert Daniël's assistent te worden en komt erachter dat hij gezondheidsproblemen heeft. Laura verzacht haar leed met drank. Jan ziet een oplossing voor de geldproblemen en doet Petra een oneerbaar voorstel.","Woensdag 10 oktober 1990"," 10 10 1990"
" Simon komt met zijn nieuwe vriendin Brigitte terug uit Parijs. Daniël stort in en moet, als hij gezond wil blijven, zijn leven drastisch veranderen. Peter komt erachter dat er geen geboorte-uittreksel van hem bestaat. ","Donderdag 11 oktober 1990"," 11 10 1990"
" Peter confronteert zijn ouders met hun lang stilgehouden geheim. Jan neemt een rigoureus besluit, zonder dit aan Petra te vertellen. De relatie van Simon en Brigitte verloopt, tot Linda's wanhoop, voorspoedig. ","Vrijdag 12 oktober 1990"," 12 10 1990"
" Arnie spoort Peter aan zijn biologische ouders een bezoek te brengen. Helen probeert toenadering te zoeken tot Peter. Linda probeert Brigitte de loef af te steken. Petra komt achter Jans reisplannen.","Maandag 15 oktober 1990"," 15 10 1990"
" Annette heeft een ontmoeting met Marc de Waal, haar ex-leraar en geheime vriend. Linda maakt ruzie met Simon en Brigitte. Rien gebruikt zijn positie om zich bij Stephanie op te dringen.","Dinsdag 16 oktober 1990"," 16 10 1990"
" Peter doet een poging om Laura van de drank af te houden. Er vindt een confrontatie plaats tussen Laura en Stephanie. Jan en Petra hebben ruzie en Jan loopt woedend weg. ","Woensdag 17 oktober 1990"," 17 10 1990"
" Annette moet liegen over haar verhouding met Marc. Het lukt Peter om de ruzie met Helen op te lossen. Peter besluit om samen met Arnie op zoek te gaan naar zijn biologische ouders. Linda heeft een nieuwe vriendin in Brigitte. ","Donderdag 18 oktober 1990"," 18 10 1990"
" Linda's nieuwe baan draait uit op een teleurstelling. Laura stemt toe in een scheiding. Rien weet aan ontslag te ontsnappen door Daniël te chanteren.","Vrijdag 19 oktober 1990"," 19 10 1990"
" Marc biedt Annette een oplossing, wanneer ze hoort dat haar ouders toch gaan verhuizen. Peter komt meer te weten over zijn biologische moeder. ","Maandag 22 oktober 1990"," 22 10 1990"
" Robert neemt een groot risico om zijn financiële positie te verbeteren. Laura krijgt nogmaals een teleurstelling te verwerken. Arnie wordt door zijn vader uitgenodigd voor een diner. Petra neemt een drastische beslissing. ","Dinsdag 23 oktober 1990"," 23 10 1990"
" Laura's drankgewoonten lopen uit de hand en Daniël biedt hulp. Petra heeft een inzinking. Wat heeft Marc de Waal met Martine Hafkamp te maken? ","Woensdag 24 oktober 1990"," 24 10 1990"
