ds,y
2016-09-16,173
2016-09-17,200
2016-09-18,152
2016-09-19,151
2016-09-20,110
2016-09-21,145
2016-09-22,97
2016-09-23,177
2016-09-24,232
2016-09-25,186
2016-09-26,153
2016-09-27,135
2016-09-28,138
2016-09-29,142
2016-09-30,153
2016-10-01,304
2016-10-02,198
2016-10-03,119
2016-10-04,47
2016-10-05,226
2016-10-06,125
2016-10-07,140
2016-10-08,248
2016-10-09,192
2016-10-10,121
2016-10-11,91
2016-10-12,7
2016-10-13,193
2016-10-14,96
2016-10-15,47
2016-10-16,0
2016-10-17,346
2016-10-18,154
2016-10-19,198
2016-10-20,194
2016-10-21,104
2016-10-22,383
2016-10-23,217
2016-10-26,240
2016-10-27,153
2016-10-28,223
2016-10-29,284
2016-10-30,67
2016-10-31,324
2016-11-01,238
2016-11-02,150
2016-11-03,168
2016-11-04,199
2016-11-05,305
2016-11-06,229
2016-11-07,119
2016-11-08,128
2016-11-09,124
2016-11-10,109
2016-11-11,196
2016-11-12,230
2016-11-13,161
2016-11-14,108
2016-11-15,91
2016-11-16,124
2016-11-17,74
2016-11-18,185
2016-11-19,243
2016-11-20,170
2016-11-21,119
2016-11-22,219
2016-11-23,136
2016-11-24,140
2016-11-25,159
2016-11-26,236
2016-11-27,178
2016-11-28,170
2016-11-29,153
2016-11-30,125
2016-12-01,109
2016-12-02,186
2016-12-03,238
2016-12-04,158
2016-12-05,150
2016-12-06,123
2016-12-07,125
2016-12-08,156
2016-12-09,121
2016-12-10,204
2016-12-11,164
2016-12-12,98
2016-12-13,80
2016-12-14,91
2016-12-15,124
2016-12-16,119
2016-12-17,235
2016-12-18,181
2016-12-19,136
2016-12-20,100
2016-12-21,4
2016-12-22,144
2016-12-23,138
2016-12-24,137
2016-12-25,0
2016-12-26,129
2016-12-27,410
2016-12-28,370
2016-12-29,326
2016-12-30,297
2016-12-31,151
2017-01-01,0
2017-01-02,308
2017-01-03,335
2017-01-04,333
2017-01-05,240
2017-01-06,243
2017-01-07,198
2017-01-08,246
2017-01-09,151
2017-01-10,159
2017-01-11,153
2017-01-12,110
2017-01-13,169
2017-01-14,353
2017-01-15,216
2017-01-16,107
2017-01-17,111
2017-01-18,194
2017-01-19,463
2017-01-20,181
2017-01-21,312
2017-01-22,161
2017-01-23,143
2017-01-24,128
2017-01-25,135
2017-01-26,136
2017-01-27,171
2017-01-28,262
2017-01-29,207
2017-01-30,134
2017-01-31,130
2017-02-01,172
2017-02-02,122
2017-02-03,223
2017-02-04,299
2017-02-05,235
2017-02-06,43
2017-02-07,451
2017-02-08,155
2017-02-09,62
2017-02-10,209
2017-02-11,240
2017-02-12,229
2017-02-13,189
2017-02-14,106
2017-02-15,160
2017-02-16,127
2017-02-17,214
2017-02-18,244
2017-02-19,176
2017-02-20,149
2017-02-21,117
2017-02-22,143
2017-02-23,114
2017-02-24,185
2017-02-25,272
2017-02-26,209
2017-02-27,160
2017-02-28,186
2017-03-01,216
2017-03-02,130
2017-03-03,264
2017-03-04,227
2017-03-05,212
2017-03-06,130
2017-03-07,151
2017-03-08,121
2017-03-09,122
2017-03-10,186
2017-03-11,194
2017-03-12,116
2017-03-13,91
2017-03-14,94
2017-03-15,66
2017-03-16,101
2017-03-17,147
2017-03-18,212
2017-03-19,182
2017-03-20,123
2017-03-21,113
2017-03-22,141
2017-03-23,164
2017-03-24,154
2017-03-25,174
2017-03-26,130
2017-03-27,91
2017-03-28,141
2017-03-29,133
2017-03-30,117
2017-03-31,196
2017-04-01,242
2017-04-02,174
2017-04-03,95
2017-04-04,120
2017-04-05,139
2017-04-06,134
2017-04-07,94
2017-04-08,206
2017-04-09,80
2017-04-10,89
2017-04-11,110
2017-04-12,99
2017-04-13,74
2017-04-14,232
